SWL1,SWL2,SWL3,SWL4,SWL5,SCA1,SCA2,SCA3,SCA4,SCA5,SCA6,SCB7,SCB8,SCB9,SCB10,SCB11,gender,ageyear,educ,income
2,2,3,4,1,2,4,2,3,3,1,4,4,2,1,3,2,18,1,4
3,4,4,4,2,3,3,2,2,3,3,3,2,1,4,3,1,42,4,5
3,4,4,2,2,4,4,5,3,3,4,4,4,5,3,2,2,17,2,4
4,4,4,4,3,3,4,3,3,3,3,4,4,4,4,2,2,16,1,2
4,4,4,3,3,4,4,3,4,4,3,3,4,4,3,3,2,18,2,4
3,3,3,2,2,3,3,3,4,4,3,3,3,3,3,3,2,17,1,5
3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,18,2,8
4,4,3,4,4,2,3,2,3,3,3,3,3,3,3,3,2,44,4,5
4,4,4,2,4,3,4,2,1,2,3,4,4,4,4,2,2,19,3,5
3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,1,15,1,3
3,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,1,19,3,7
4,5,4,5,3,2,2,2,2,1,1,1,1,1,1,1,1,16,1,2
2,2,2,3,1,4,4,4,4,5,4,4,2,2,2,2,2,19,3,3
4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,1,16,2,5
3,3,2,2,4,2,2,2,2,2,2,4,2,3,3,3,1,19,3,2
3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,19,3,10
3,2,4,2,1,4,3,4,4,4,2,5,5,3,5,2,2,14,1,3
3,3,4,2,2,2,3,4,4,4,4,3,4,4,2,2,2,19,3,2
4,4,5,4,4,3,4,3,3,3,3,3,3,3,4,3,2,18,2,4
3,3,4,3,2,3,4,4,4,3,3,5,3,3,5,3,2,15,1,5
2,3,2,2,1,2,2,2,4,4,4,4,4,4,4,2,2,18,2,6
4,2,3,3,2,2,4,3,3,4,4,4,3,4,4,2,2,18,1,3
3,4,4,3,3,3,3,2,2,2,2,2,2,2,2,3,1,18,1,4
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,2,9
2,3,3,4,2,4,3,3,2,4,3,4,4,2,3,2,1,18,2,1
4,4,5,4,4,4,4,5,5,5,5,5,5,5,1,1,2,16,1,9
2,2,3,1,1,2,4,4,2,3,2,4,4,4,2,3,1,17,1,2
2,2,2,2,1,3,4,4,4,4,4,4,3,4,2,2,2,19,3,4
3,3,4,3,2,4,3,3,4,3,3,4,3,3,3,2,1,15,1,5
3,3,4,3,2,2,3,3,3,3,3,4,3,4,3,2,1,15,1,3
4,5,5,4,2,2,1,1,1,1,2,4,4,4,2,2,2,19,3,6
4,3,2,2,2,4,4,3,3,4,3,3,3,3,3,4,1,18,2,3
2,2,2,3,1,4,4,2,4,4,2,5,4,3,3,2,2,18,1,6
3,3,4,3,3,3,4,3,2,3,3,3,3,3,3,4,2,25,4,4
2,3,2,2,2,4,3,3,4,4,4,5,4,4,4,2,2,27,4,5
2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,1,42,6,4
5,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,2,18,1,6
2,2,2,2,2,3,4,4,3,3,2,4,4,3,4,3,1,58,6,2
3,4,4,4,3,3,2,2,1,3,4,4,4,3,3,4,1,16,1,10
3,4,3,3,3,3,3,3,3,3,3,3,4,3,4,3,1,56,4,9
3,3,4,2,4,1,2,3,2,2,3,3,2,2,2,4,1,29,3,10
2,2,2,2,1,2,2,3,2,1,2,1,3,2,2,2,1,55,2,1
2,2,3,2,1,4,3,4,4,3,5,4,4,4,5,4,1,43,4,6
3,3,4,3,2,3,4,3,3,3,2,3,3,4,3,3,1,45,4,7
2,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,1,33,4,4
2,3,4,3,2,4,4,3,4,4,3,4,4,3,3,2,2,20,3,6
3,3,2,3,1,4,4,3,3,3,2,3,3,3,3,3,1,44,4,5
3,2,2,2,1,2,3,3,3,3,3,3,3,3,3,3,1,36,4,5
2,3,2,3,1,3,4,2,3,4,3,3,3,3,3,3,2,22,3,10
4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,1,46,4,4
4,4,3,3,4,3,3,4,4,4,3,4,4,3,4,4,1,57,4,9
2,2,2,2,1,4,3,3,3,4,3,3,2,2,2,3,1,59,4,3
2,2,2,4,2,4,4,2,2,2,2,2,2,4,4,4,2,26,3,5
1,2,2,2,1,4,3,3,3,2,2,3,2,2,3,4,2,47,2,3
3,3,2,2,2,4,3,3,3,3,3,3,3,3,3,3,2,28,2,3
3,3,3,4,3,1,1,1,1,1,1,1,1,1,1,1,2,18,1,4
3,3,4,4,3,2,3,4,2,2,1,3,2,1,4,2,1,19,3,8
3,3,3,4,3,4,3,3,4,3,3,3,4,4,3,3,2,41,4,5
1,1,1,1,1,4,4,4,4,4,4,4,4,3,3,2,2,28,4,3
3,3,4,2,3,2,2,2,2,3,3,4,3,4,2,3,1,19,3,8
2,1,3,4,3,4,5,5,3,2,2,4,4,4,5,3,2,24,3,3
2,2,3,2,1,3,3,3,3,3,3,3,3,3,3,3,2,19,3,5
3,3,5,5,4,4,4,3,3,3,3,3,3,3,3,3,2,46,6,8
3,3,4,3,4,3,2,3,3,4,3,3,3,2,3,2,1,15,1,10
2,3,3,1,2,2,2,3,2,3,3,2,2,4,3,4,2,17,4,4
